"고유번호","구명","수목고유번호","구번호","동명","순번","수목명","흉고지름","수고","수관너비","위치","주변토지사용상태","품계흉고","품계활력","품계수형","품계수종","품계위치","관리등급","피해상태","학명","식생활력","품계등급","관리기관","X 좌표","Y 좌표"
"20001105","중구","2-중림동-큰-0050","02","중림동","50.00000000","아카시아나무","55.00000000","20.00000000","20.00000000","손기정공원","50","15.00000000","10.00000000","6.00000000","4","6","2.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","41.00000000","공원녹지과","196944.773","196944.7732"
"20001107","중구","2-태평로1가동-큰-0046","02","태평로1가동","46.00000000","양버즘나무","31.00000000","29.00000000","8.00000000","시청","60","5.00000000","10.00000000","6.00000000","2","9","3.00000000","1.00000000","Platanus occidentalis L.","2.00000000","32.00000000","공원녹지과","198124.113","198124.1126"
"20001108","중구","2-광희동-큰-0007","02","광희동","7.00000000","느티나무","20.00000000","7.00000000","6.00000000","방산동 구민회관","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","200530.174","200530.1738"
"20001109","중구","2-소공동-큰-0010","02","소공동","10.00000000","화백","25.00000000","15.00000000","2.00000000","정동","10","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","","2.00000000","34.00000000","공원녹지과","197417.944","197417.9443"
"20001110","중구","2-소공동-큰-0065","02","소공동","65.00000000","아카시아나무","33.00000000","27.00000000","6.00000000","창덕여중","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","34.00000000","공원녹지과","197427.251","197427.2512"
"20001111","중구","2-소공동-큰-0106","02","소공동","106.00000000","은행나무","33.00000000","30.00000000","5.00000000","이화여고","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","197221.915","197221.9153"
"20001112","중구","2-남대문로5가동-큰-0017","02","남대문로5가동","17.00000000","회화나무","25.00000000","27.00000000","13.00000000","서울열차사무소","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Sophora japonica L.","2.00000000","36.00000000","공원녹지과","197336.191","197336.1914"
"20001113","중구","2-회현동-큰-0037","02","회현동","37.00000000","","0E-8","0E-8","0E-8","","0","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","","2.00000000","36.00000000","공원녹지과","198263.422","198263.422"
"20001457","중구","2-광희동-큰-0073","02","광희동","73.00000000","소나무","23.00000000","5.00000000","5.00000000","두산타워","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Pinus densiflora S et Z.","2.00000000","36.00000000","공원녹지과","200750.05","200750.0499"
"20001458","중구","2-광희동-큰-0086","02","광희동","86.00000000","이태리포플러","21.00000000","7.00000000","5.00000000","국립간호대학","60","5.00000000","10.00000000","6.00000000","2","9","3.00000000","1.00000000","Populus euramericana Guiner","2.00000000","32.00000000","공원녹지과","200583.534","200583.5337"
"20001459","중구","2-필동-큰-0064","02","필동","64.00000000","은행나무","24.00000000","18.00000000","6.00000000","","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","199703.473","199703.4731"
"20001460","중구","2-신당6동-큰-0031","02","신당6동","31.00000000","향나무","28.00000000","4.00000000","4.00000000","","10","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Juniperus chinensis L.","2.00000000","34.00000000","공원녹지과","201401.489","201401.489"
"20001461","중구","2-중림동-큰-0028","02","중림동","28.00000000","은행나무","22.00000000","15.00000000","7.00000000","손기정공원","50","5.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","33.00000000","공원녹지과","197035.764","197035.7642"
"20001463","중구","2-충무로4,5동-큰-0078","02","충무로4,5동","78.00000000","느티나무","30.00000000","8.00000000","6.00000000","삼성생명","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","200032.451","200032.451"
"20001464","중구","2-을지로3,4,5동-큰-0023","02","을지로3,4,5동","23.00000000","은행나무","60.00000000","5.00000000","6.00000000","을지로2가 영락교회","30","15.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Ginkgo biloba L.","2.00000000","46.00000000","공원녹지과","199058.706","199058.7058"
"20001465","중구","2-소공동-큰-0293","02","소공동","293.00000000","백합나무","25.00000000","18.00000000","5.00000000","상공회의소","60","5.00000000","10.00000000","6.00000000","2","9","3.00000000","1.00000000","Liriodendron tulipifera L.","2.00000000","32.00000000","공원녹지과","197646.904","197646.9044"
"20001466","중구","2-중림동-큰-0090","02","중림동","90.00000000","양버즘나무","42.00000000","30.00000000","10.00000000","봉래초등학교","60","10.00000000","10.00000000","6.00000000","2","9","3.00000000","1.00000000","Platanus occidentalis L.","2.00000000","37.00000000","공원녹지과","196796.321","196796.3206"
"20001467","중구","2-회현동-큰-0184","02","회현동","184.00000000","은행나무","21.00000000","7.00000000","6.00000000","연세빌딩","70","5.00000000","10.00000000","6.00000000","6","9","3.00000000","2.00000000","Ginkgo biloba L.","0E-8","0E-8","공원녹지과","197686.72","197686.7196"
"20001468","중구","2-회현동-큰-0077","02","회현동","77.00000000","느티나무","25.00000000","16.00000000","7.00000000","","50","5.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","33.00000000","공원녹지과","198131.382","198131.3816"
"20001469","중구","2-신당4동-큰-0010","02","신당4동","10.00000000","느티나무","39.00000000","11.00000000","9.00000000","청구초교","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","201284.091","201284.0911"
"20001471","중구","2-회현동-큰-0145","02","회현동","145.00000000","백합나무","36.00000000","17.00000000","9.00000000","연세빌딩","70","10.00000000","10.00000000","6.00000000","2","9","3.00000000","2.00000000","Liriodendron tulipifera L.","0E-8","0E-8","공원녹지과","197725.8","197725.7996"
"20001597","중구","2-장충동-큰-0357","02","장충동","357.00000000","소나무","22.00000000","4.00000000","3.00000000","타워호텔","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Pinus densiflora S et Z.","2.00000000","36.00000000","공원녹지과","200159.624","200159.6238"
"20001535","중구","2-을지로3,4,5동-큰-0003","02","을지로3,4,5동","3.00000000","은행나무","30.00000000","10.00000000","5.00000000","수표동 청소년회관","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","199170.637","199170.637"
"20001669","중구","2-충무로4,5동-큰-0084","02","충무로4,5동","84.00000000","이태리포플러","70.00000000","14.00000000","7.00000000","덕수중학교","60","15.00000000","10.00000000","6.00000000","2","9","2.00000000","1.00000000","Populus euramericana Guiner","2.00000000","42.00000000","공원녹지과","199777.7","199777.7004"
"20001645","중구","2-소공동-큰-0199","02","소공동","199.00000000","측백나무","22.00000000","21.00000000","6.00000000","체스프라자","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Thuja orientalis L.","2.00000000","36.00000000","공원녹지과","197605.045","197605.0451"
"20001654","중구","2-중림동-큰-0053","02","중림동","53.00000000","아카시아나무","36.00000000","26.00000000","17.00000000","손기정공원","50","5.00000000","10.00000000","6.00000000","4","6","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","31.00000000","공원녹지과","196933.975","196933.9754"
"20001662","중구","2-남대문로5가동-큰-0051","02","남대문로5가동","51.00000000","양버즘나무","25.00000000","18.00000000","6.00000000","남대문교회","50","5.00000000","10.00000000","6.00000000","2","6","4.00000000","1.00000000","Platanus occidentalis L.","2.00000000","29.00000000","공원녹지과","198143.165","198143.165"
"20001854","중구","2-장충동-큰-0158","02","장충동","158.00000000","향나무","21.00000000","4.00000000","2.00000000","동국대학교","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Juniperus chinensis L.","2.00000000","34.00000000","공원녹지과","200165.108","200165.1084"
